[2023-11-20 13:24:15,314: INFO: main: Welcome to our custom log]
[2023-11-20 13:25:39,927: INFO: main: Welcome to our custom log]
[2023-11-25 11:12:57,664: INFO: main: Welcome to our custom log]
[2023-11-25 11:41:54,106:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 11:41:54,116:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 11:41:54,121:INFO:common:created directory at: artifacts]
[2023-11-25 11:41:54,126:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 11:52:28,040:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 11:52:28,046:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 11:52:28,050:INFO:common:created directory at: artifacts]
[2023-11-25 11:52:28,052:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 11:52:31,051:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 11:52:31,056:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 11:52:31,058:INFO:common:created directory at: artifacts]
[2023-11-25 11:52:31,062:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:02:29,147:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:02:29,151:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:02:29,153:INFO:common:created directory at: artifacts]
[2023-11-25 12:02:29,156:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:06:27,878:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:06:27,885:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:06:27,890:INFO:common:created directory at: artifacts]
[2023-11-25 12:06:27,895:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:07:34,766:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:07:34,770:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:07:34,772:INFO:common:created directory at: artifacts]
[2023-11-25 12:07:34,774:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:09:56,429:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:09:56,433:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:09:56,436:INFO:common:created directory at: artifacts]
[2023-11-25 12:09:56,437:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:10:16,163:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:10:16,168:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:10:16,170:INFO:common:created directory at: artifacts]
[2023-11-25 12:10:16,174:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:30:21,716:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:30:21,723:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:30:21,728:INFO:common:created directory at: artifacts]
[2023-11-25 12:30:21,732:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:30:48,305:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:30:48,312:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:30:48,319:INFO:common:created directory at: artifacts]
[2023-11-25 12:30:48,323:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:32:01,307:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:32:01,314:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:32:01,316:INFO:common:created directory at: artifacts]
[2023-11-25 12:32:01,319:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:35:55,579:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:35:55,584:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:35:55,589:INFO:common:created directory at: artifacts]
[2023-11-25 12:35:55,592:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:37:04,118:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:37:04,123:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:37:04,127:INFO:common:created directory at: artifacts]
[2023-11-25 12:37:04,130:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:38:05,487:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:38:05,491:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:38:05,495:INFO:common:created directory at: artifacts]
[2023-11-25 12:38:05,499:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:39:42,961:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-11-25 12:39:42,966:INFO:common:yaml file: params.yaml loaded successfully]
[2023-11-25 12:39:42,970:INFO:common:created directory at: artifacts]
[2023-11-25 12:39:42,973:INFO:common:created directory at: artifacts/data_ingestion]
[2023-11-25 12:39:42,976:INFO:1060046524:Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-25 12:41:55,247:INFO:1060046524:Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-25 13:48:15,615: INFO: main: Welcome to our custom log]
[2023-11-25 13:57:40,973: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-11-25 13:57:40,977: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-25 13:57:40,988: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-25 13:57:40,991: INFO: common: created directory at: artifacts]
[2023-11-25 13:57:40,993: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-25 13:57:40,998: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-25 13:58:58,974: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-25 13:59:00,720: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
